Category,Location,Map,Names,Permit
[u'\r\n\t\t\t\tType: School Cafeteria \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1700 EAST CAPITOL ST NE WASHINGTON, DC 20003']","http://maps.google.com/maps?q=1700 EAST CAPITOL ST NE WASHINGTON, DC 20003",EASTERN SENIOR HIGH SCHOOL,?a=inspections&permitID=4765
[u'\r\n\t\t\t\tType: Caterer \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t703 EDGEWOOD ST NE WASHINGTON, DC 20017']","http://maps.google.com/maps?q=703 EDGEWOOD ST NE WASHINGTON, DC 20017",EAT 170,?a=inspections&permitID=187845
[u'\r\n\t\t\t\tType: Caterer \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2212 RHODE ISLAND AVE NE WASHINGTON, DC 20018']","http://maps.google.com/maps?q=2212 RHODE ISLAND AVE NE WASHINGTON, DC 20018",EAT AND SMILE CATERING,?a=inspections&permitID=147844
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t415 8TH ST SE Washington, DC 20003']","http://maps.google.com/maps?q=415 8TH ST SE Washington, DC 20003",EAT BAR (n),?a=inspections&permitID=188532
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t609 H ST NW WASHINGTON, DC 20001']","http://maps.google.com/maps?q=609 H ST NW WASHINGTON, DC 20001",EAT FIRST RESTAURANT,?a=inspections&permitID=3704
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1839 7TH ST NW WASHINGTON, DC 20001']","http://maps.google.com/maps?q=1839 7TH ST NW WASHINGTON, DC 20001",EAT THE RICH/SOUTHERN EFFICIENCY (N),?a=inspections&permitID=147918
[u'\r\n\t\t\t\tType: School Cafeteria \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3301 LOWELL ST NW WASHINGTON, DC 20008']","http://maps.google.com/maps?q=3301 LOWELL ST NW WASHINGTON, DC 20008",EATON ELEMENTARY SCHOOL,?a=inspections&permitID=93299
[u'\r\n\t\t\t\tType: School Cafeteria \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3301 LOWELL ST NW WASHINGTON, DC 20008']","http://maps.google.com/maps?q=3301 LOWELL ST NW WASHINGTON, DC 20008",EATON ELEMENTARY SCHOOL,?a=inspections&permitID=4766
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3607 GEORGIA AVE NW WASHINGTON, DC 20010']","http://maps.google.com/maps?q=3607 GEORGIA AVE NW WASHINGTON, DC 20010",EATSPLACE,?a=inspections&permitID=172892
[u'\r\n\t\t\t\tType: Caterer \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3607 GEORGIA AVE NW WASHINGTON, DC 20010']","http://maps.google.com/maps?q=3607 GEORGIA AVE NW WASHINGTON, DC 20010",EATSPLACE,?a=inspections&permitID=188774
[u'\r\n\t\t\t\tType: Caterer \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3607 GEORGIA AVE NW WASHINGTON, DC 20010']","http://maps.google.com/maps?q=3607 GEORGIA AVE NW WASHINGTON, DC 20010",EATSPLACE,?a=inspections&permitID=188775
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3607 GEORGIA AVE NW WASHINGTON, DC 20010']","http://maps.google.com/maps?q=3607 GEORGIA AVE NW WASHINGTON, DC 20010",EATSPLACE,?a=inspections&permitID=172892
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t46 Q ST NW Washington, DC 20001']","http://maps.google.com/maps?q=46 Q ST NW Washington, DC 20001",Ebenezar Baptist Church,?a=inspections&permitID=3333
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t201 F ST NE Washington, DC 20002']","http://maps.google.com/maps?q=201 F ST NE Washington, DC 20002",EBENEZERS COFFEEHOUSE,?a=inspections&permitID=807
[u'\r\n\t\t\t\tType: Caterer \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t703 EDGEWOOD ST NE WASHINGTON, DC 20017']","http://maps.google.com/maps?q=703 EDGEWOOD ST NE WASHINGTON, DC 20017",EBOW AND SOOT,?a=inspections&permitID=187949
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2135 QUEENS CHAPEL RD NE Washington, DC 20018']","http://maps.google.com/maps?q=2135 QUEENS CHAPEL RD NE Washington, DC 20018",ECHOSTAGE (n),?a=inspections&permitID=147637
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t4058 MINNESOTA AVE NE WASHINGTON, DC 20019']","http://maps.google.com/maps?q=4058 MINNESOTA AVE NE WASHINGTON, DC 20019",ECLECTIC CAFE,?a=inspections&permitID=187841
[u'\r\n\t\t\t\tType: Caterer \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1110 CONGRESS ST NE WASHINGTON, DC 20002']","http://maps.google.com/maps?q=1110 CONGRESS ST NE WASHINGTON, DC 20002",ECO CATERS,?a=inspections&permitID=187793
[u'\r\n\t\t\t\tType: Caterer \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2221 ADAMS PL NE UNIT B WASHINGTON, DC 20018']","http://maps.google.com/maps?q=2221 ADAMS PL NE WASHINGTON, DC 20018",ECOCATERS,?a=inspections&permitID=188474
[u'\r\n\t\t\t\tType: Grocery Store \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1804 D ST NE Washington, DC 20002']","http://maps.google.com/maps?q=1804 D ST NE Washington, DC 20002",ECONOMY MARKET,?a=inspections&permitID=148224
[u'\r\n\t\t\t\tType: Grocery Store \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1804 D ST NE Washington, DC 20002']","http://maps.google.com/maps?q=1804 D ST NE Washington, DC 20002",ECONOMY MARKET,?a=inspections&permitID=760
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2600 CONNECTICUT AVE NW Washington, DC 20008']","http://maps.google.com/maps?q=2600 CONNECTICUT AVE NW Washington, DC 20008",EDDIE CAFÉ,?a=inspections&permitID=187913
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2600 CONNECTICUT AVE NW Washington, DC 20008']","http://maps.google.com/maps?q=2600 CONNECTICUT AVE NW Washington, DC 20008",EDDIE CAFÉ,?a=inspections&permitID=2714
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2103 Alabama AVE SE WASHINGTON, DC 20020']","http://maps.google.com/maps?q=2103 Alabama AVE SE WASHINGTON, DC 20020",EDDIE LEONARD'S,?a=inspections&permitID=147877
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2103 Alabama AVE SE WASHINGTON, DC 20020']","http://maps.google.com/maps?q=2103 Alabama AVE SE WASHINGTON, DC 20020",EDDIE LEONARD'S,?a=inspections&permitID=5339
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3300 GEORGIA AVE NW WASHINGTON, DC 20011']","http://maps.google.com/maps?q=3300 GEORGIA AVE NW WASHINGTON, DC 20011",EDDIE LEONARDS,?a=inspections&permitID=2980
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t4405 SOUTH CAPITOL ST SW Washington, DC 20032']","http://maps.google.com/maps?q=4405 SOUTH CAPITOL ST SW Washington, DC 20032",EDDIE YUM'S,?a=inspections&permitID=4565
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1251 BLADENSBURG RD NE Washington, DC 20002']","http://maps.google.com/maps?q=1251 BLADENSBURG RD NE Washington, DC 20002",EDDIE'S CARRYOUT,?a=inspections&permitID=611
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t4019 SOUTH CAPITOL ST SW WASHINGTON, DC 20032']","http://maps.google.com/maps?q=4019 SOUTH CAPITOL ST SW WASHINGTON, DC 20032",EDDIE'S CARRYOUT,?a=inspections&permitID=4547
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1716 I ST NW Washington, DC 20006']","http://maps.google.com/maps?q=1716 I ST NW Washington, DC 20006",EDEN NIGHTCLUB (n),?a=inspections&permitID=147673
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1309 5TH ST NE WASHINGTON, DC 20002']","http://maps.google.com/maps?q=1309 5TH ST NE WASHINGTON, DC 20002",EDENS/UNION MARKET COMMON AREA,?a=inspections&permitID=7034
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1127 CONNECTICUT AVE NW Washington, DC 20036']","http://maps.google.com/maps?q=1127 CONNECTICUT AVE NW Washington, DC 20036",EDGAR,?a=inspections&permitID=147319
[u'\r\n\t\t\t\tType: Food Products \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2303 4TH ST NE Washington, DC 20002']","http://maps.google.com/maps?q=2303 4TH ST NE Washington, DC 20002",EDGEWOOD INTERNATIONAL WINE AND SPIRITS,?a=inspections&permitID=172506
[u'\r\n\t\t\t\tType: Food Products \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2303 4TH ST NE Washington, DC 20002']","http://maps.google.com/maps?q=2303 4TH ST NE Washington, DC 20002",EDGEWOOD INTERNATIONAL WINE AND SPIRITS,?a=inspections&permitID=844
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t600 PENNSYLVANIA AVE SE WASHINGTON, DC 20003']","http://maps.google.com/maps?q=600 PENNSYLVANIA AVE SE WASHINGTON, DC 20003",EDIBLE ARRANGEMENTS,?a=inspections&permitID=147361
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1600 WISCONSIN AVE NW WASHINGTON, DC 20007']","http://maps.google.com/maps?q=1600 WISCONSIN AVE NW WASHINGTON, DC 20007",EDIBLE ARRANGEMENTS,?a=inspections&permitID=6846
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1740 M ST NW Washington, DC 20036']","http://maps.google.com/maps?q=1740 M ST NW Washington, DC 20036",EDIBLE ARRANGEMENTS,?a=inspections&permitID=2094
[u'\r\n\t\t\t\tType: School Cafeteria \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t640 ANACOSTIA AVE NE WASHINGTON, DC 20019']","http://maps.google.com/maps?q=640 ANACOSTIA AVE NE WASHINGTON, DC 20019",EDUCARE,?a=inspections&permitID=6722
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1700 PENNSYLVANIA AVE NW WASHINGTON, DC 20006']","http://maps.google.com/maps?q=1700 PENNSYLVANIA AVE NW WASHINGTON, DC 20006",EEOB CAFE (IKE'S EATERY),?a=inspections&permitID=189160
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t6896 LAUREL ST NW WASHINGTON, DC 20012']","http://maps.google.com/maps?q=6896 LAUREL ST NW WASHINGTON, DC 20012",EF INTERNATIONAL LANGUAGE CENTERS,?a=inspections&permitID=172566
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1212 18TH ST NW WASHINGTON, DC 20036']","http://maps.google.com/maps?q=1212 18TH ST NW WASHINGTON, DC 20036",EIGHTEENTH STREET LOUNGE (n),?a=inspections&permitID=137243
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1212 18TH ST NW WASHINGTON, DC 20036']","http://maps.google.com/maps?q=1212 18TH ST NW WASHINGTON, DC 20036",EIGHTEENTH STREET LOUNGE (n),?a=inspections&permitID=1512
[u'\r\n\t\t\t\tType: Food Products \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3700 O ST NW WASHINGTON, DC 20057']","http://maps.google.com/maps?q=3700 O ST NW WASHINGTON, DC 20057",EINSTEIN BAGELS AT REGENTS HALL,?a=inspections&permitID=187811
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t50 MASSACHUSETTS AVE NE SPC 210 WASHINGTON, DC 20002']","http://maps.google.com/maps?q=50 MASSACHUSETTS AVE NE WASHINGTON, DC 20002",EINSTEIN BROS BAGELS,?a=inspections&permitID=147477
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2233 WISCONSIN AVE NW WASHINGTON, DC 20007']","http://maps.google.com/maps?q=2233 WISCONSIN AVE NW WASHINGTON, DC 20007",EINSTEIN BROS. BAGELS #1996,?a=inspections&permitID=147927
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3612 14TH ST NW Washington, DC 20010']","http://maps.google.com/maps?q=3612 14TH ST NW Washington, DC 20010",EL AMIGO,?a=inspections&permitID=3086
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t108 RHODE ISLAND AVE NW WASHINGTON, DC 20001']","http://maps.google.com/maps?q=108 RHODE ISLAND AVE NW WASHINGTON, DC 20001",EL CAMINO (n),?a=inspections&permitID=172938
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t5217 GEORGIA AVE NW WASHINGTON, DC 20011']","http://maps.google.com/maps?q=5217 GEORGIA AVE NW WASHINGTON, DC 20011",EL CAMINO REAL RESTAURANT,?a=inspections&permitID=4950
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t5217 GEORGIA AVE NW WASHINGTON, DC 20011']","http://maps.google.com/maps?q=5217 GEORGIA AVE NW WASHINGTON, DC 20011",EL CAMINO REAL RESTAURANT,?a=inspections&permitID=3485
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t5217 GEORGIA AVE NW WASHINGTON, DC 20011']","http://maps.google.com/maps?q=5217 GEORGIA AVE NW WASHINGTON, DC 20011",EL CAMINO REAL RESTAURANT II,?a=inspections&permitID=6864
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1218 WISCONSIN AVE NW Washington, DC 20007']","http://maps.google.com/maps?q=1218 WISCONSIN AVE NW Washington, DC 20007",EL CENTRO D.F.,?a=inspections&permitID=147814
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1819 14TH ST NW WASHINGTON, DC 20009']","http://maps.google.com/maps?q=1819 14TH ST NW WASHINGTON, DC 20009",EL CENTRO D.F.,?a=inspections&permitID=5255
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3313 11TH ST NW WASHINGTON, DC 20010']","http://maps.google.com/maps?q=3313 11TH ST NW WASHINGTON, DC 20010",EL CHUCHO-COCINA SUPERIOR (n),?a=inspections&permitID=6788
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t4401 14TH ST NW Washington, DC 20011']","http://maps.google.com/maps?q=4401 14TH ST NW Washington, DC 20011",EL DON RESTAURANT,?a=inspections&permitID=137277
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t4401 14TH ST NW Washington, DC 20011']","http://maps.google.com/maps?q=4401 14TH ST NW Washington, DC 20011",EL DON RESTAURANT,?a=inspections&permitID=3282
[u'\r\n\t\t\t\tType: Grocery Store \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1261 4TH ST NE WASHINGTON, DC 20002']","http://maps.google.com/maps?q=1261 4TH ST NE WASHINGTON, DC 20002",EL DORADO DISTRIBUTORS,?a=inspections&permitID=615
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1646 COLUMBIA RD NW Washington, DC 20009']","http://maps.google.com/maps?q=1646 COLUMBIA RD NW Washington, DC 20009",EL GAVILAN GROCERY,?a=inspections&permitID=1985
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1721 COLUMBIA RD NW Washington, DC 20009']","http://maps.google.com/maps?q=1721 COLUMBIA RD NW Washington, DC 20009",EL NUEVO MIGUELENO (n),?a=inspections&permitID=2048
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3153 MOUNT PLEASANT ST NW Washington, DC 20010']","http://maps.google.com/maps?q=3153 MOUNT PLEASANT ST NW Washington, DC 20010",EL POLLO SABROSO,?a=inspections&permitID=2884
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1434 PARK RD NW Washington, DC 20010']","http://maps.google.com/maps?q=1434 PARK RD NW Washington, DC 20010",El POLO SABROSO,?a=inspections&permitID=1817
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t5313 GEORGIA AVE NW Washington, DC 20011']","http://maps.google.com/maps?q=5313 GEORGIA AVE NW Washington, DC 20011",EL PULGARCITO,?a=inspections&permitID=3529
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t5313 GEORGIA AVE NW Washington, DC 20011']","http://maps.google.com/maps?q=5313 GEORGIA AVE NW Washington, DC 20011",EL PULGARCITO DE AMERICA,?a=inspections&permitID=172767
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t5313 GEORGIA AVE NW Washington, DC 20011']","http://maps.google.com/maps?q=5313 GEORGIA AVE NW Washington, DC 20011",EL PULGARCITO DE AMERICA,?a=inspections&permitID=3528
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t919 U ST NW WASHINGTON, DC 20001']","http://maps.google.com/maps?q=919 U ST NW WASHINGTON, DC 20001",EL REY (n),?a=inspections&permitID=148139
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1826 COLUMBIA RD NW WASHINGTON, DC 20009']","http://maps.google.com/maps?q=1826 COLUMBIA RD NW WASHINGTON, DC 20009",EL RINCON ESPANOL,?a=inspections&permitID=2215
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1129 11TH ST NW Washington, DC 20001']","http://maps.google.com/maps?q=1129 11TH ST NW Washington, DC 20001",EL RINCONCITO CAFÉ,?a=inspections&permitID=1427
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3911 14TH ST NW WASHINGTON, DC 20011']","http://maps.google.com/maps?q=3911 14TH ST NW WASHINGTON, DC 20011",EL SOL RESTAURANT,?a=inspections&permitID=172331
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1227 11TH ST NW WASHINGTON, DC 20001']","http://maps.google.com/maps?q=1227 11TH ST NW WASHINGTON, DC 20001",EL SOL RESTAURANT & TEQUILE RIA,?a=inspections&permitID=187392
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1227 11TH ST NW WASHINGTON, DC 20001']","http://maps.google.com/maps?q=1227 11TH ST NW WASHINGTON, DC 20001",EL SOL RESTAURANT & TEQUILERIA,?a=inspections&permitID=187797
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1227 11TH ST NW WASHINGTON, DC 20001']","http://maps.google.com/maps?q=1227 11TH ST NW WASHINGTON, DC 20001",EL SOL RESTAURANT & TEQUILERIA,?a=inspections&permitID=137242
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1227 11TH ST NW WASHINGTON, DC 20001']","http://maps.google.com/maps?q=1227 11TH ST NW WASHINGTON, DC 20001",EL SOL RESTAURANT & TEQUILERIA,?a=inspections&permitID=1543
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1785 FLORIDA AVE NW Washington, DC 20009']","http://maps.google.com/maps?q=1785 FLORIDA AVE NW Washington, DC 20009",EL TAMARINDO,?a=inspections&permitID=2129
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3345 14TH ST NW Washington, DC 20010']","http://maps.google.com/maps?q=3345 14TH ST NW Washington, DC 20010",EL TIO,?a=inspections&permitID=172258
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t4231 9TH ST NW Washington, DC 20011']","http://maps.google.com/maps?q=4231 9TH ST NW Washington, DC 20011",EL TOROGOZ RESTAURANT,?a=inspections&permitID=3224
[u'\r\n\t\t\t\tType: Caterer \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1369 NEW YORK AVE NE WASHINGTON, DC 20002']","http://maps.google.com/maps?q=1369 NEW YORK AVE NE WASHINGTON, DC 20002",EL ZORRO HABANERO HOT SAUCE,?a=inspections&permitID=188646
[u'\r\n\t\t\t\tType: Bakery \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t4724 14TH ST NW WASHINGTON, DC 20011']","http://maps.google.com/maps?q=4724 14TH ST NW WASHINGTON, DC 20011",EL-EDEN BAKERY,?a=inspections&permitID=3358
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1006 FLORIDA AVE NE Washington, DC 20002']","http://maps.google.com/maps?q=1006 FLORIDA AVE NE Washington, DC 20002",ELBO MARKET,?a=inspections&permitID=6332
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1731 7th ST NW WASHINGTON, DC 20003']","http://maps.google.com/maps?q=1731 7th ST NW WASHINGTON, DC 20003",ELBO MARKET,?a=inspections&permitID=6804
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t6209 GEORGIA AVE NW Washington, DC 20011']","http://maps.google.com/maps?q=6209 GEORGIA AVE NW Washington, DC 20011",ELDORADO BREAD RESTAURANT,?a=inspections&permitID=147302
[u'\r\n\t\t\t\tType: Food Products \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1101 Rittenhouse ST NW WASHINGTON, DC 20011']","http://maps.google.com/maps?q=1101 Rittenhouse ST NW WASHINGTON, DC 20011",ELEGANT BOUTIQUE,?a=inspections&permitID=188568
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1201 PENNSYLVANIA AVE NW WASHINGTON, DC 20004']","http://maps.google.com/maps?q=1201 PENNSYLVANIA AVE NW WASHINGTON, DC 20004",ELEPHANT & CASTLE PUB & RESTAURANT,?a=inspections&permitID=1496
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t900 19TH ST NW WASHINGTON, DC 20006']","http://maps.google.com/maps?q=900 19TH ST NW WASHINGTON, DC 20006",ELEPHANT AND CASTLE PUB RESTAURANT,?a=inspections&permitID=7196
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t900 19TH ST NW WASHINGTON, DC 20006']","http://maps.google.com/maps?q=900 19TH ST NW WASHINGTON, DC 20006",ELEPHANT AND CASTLE PUB RESTAURANT,?a=inspections&permitID=6107
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3800 RESERVOIR RD NW Washington, DC 20057']","http://maps.google.com/maps?q=3800 RESERVOIR RD NW Washington, DC 20057",ELEVATION  BURGER,?a=inspections&permitID=147945
[u'\r\n\t\t\t\tType: Grocery Store \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1936 11TH ST NW Washington, DC 20010']","http://maps.google.com/maps?q=1936 11TH ST NW Washington, DC 20010",ELEVEN MARKET,?a=inspections&permitID=2327
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1108 MONTELLO AVE NE Washington, DC 20002']","http://maps.google.com/maps?q=1108 MONTELLO AVE NE Washington, DC 20002",ELI CARRY OUT,?a=inspections&permitID=556
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t5427 GEORGIA AVE NW WASHINGTON, DC 20011']","http://maps.google.com/maps?q=5427 GEORGIA AVE NW WASHINGTON, DC 20011",ELIAS INJERA MARKET,?a=inspections&permitID=7199
[u'\r\n\t\t\t\tType: Food Products \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t5427 GEORGIA AVE NW WASHINGTON, DC 20011']","http://maps.google.com/maps?q=5427 GEORGIA AVE NW WASHINGTON, DC 20011",ELIAS INJERA MARKET,?a=inspections&permitID=7162
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t5427 GEORGIA AVE NW WASHINGTON, DC 20011']","http://maps.google.com/maps?q=5427 GEORGIA AVE NW WASHINGTON, DC 20011",ELIAS INJERA MARKET,?a=inspections&permitID=7184
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t5427 GEORGIA AVE NW WASHINGTON, DC 20011']","http://maps.google.com/maps?q=5427 GEORGIA AVE NW WASHINGTON, DC 20011",ELIAS INJERA MARKET,?a=inspections&permitID=4897
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t5427 GEORGIA AVE NW WASHINGTON, DC 20011']","http://maps.google.com/maps?q=5427 GEORGIA AVE NW WASHINGTON, DC 20011",ELIAS INJERA MARKET,?a=inspections&permitID=3552
[u'\r\n\t\t\t\tType: School Cafeteria \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1830 CONSTITUTION AVE NE WASHINGTON, DC 20002']","http://maps.google.com/maps?q=1830 CONSTITUTION AVE NE WASHINGTON, DC 20002",ELIOT-HINE MIDDLE SCHOOL,?a=inspections&permitID=7103
