Category,Location,Map,Names,Permit
[u'\r\n\t\t\t\tType: Grocery Store \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t522 K ST NE Washington, DC 20002']","http://maps.google.com/maps?q=522 K ST NE Washington, DC 20002",ABC FOOD MARKET,?a=inspections&permitID=1123
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1401 6TH ST NW Washington, DC 20001']","http://maps.google.com/maps?q=1401 6TH ST NW Washington, DC 20001",ABC GROCERY,?a=inspections&permitID=1759
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2205 4TH ST NE WASHINGTON, DC 20002']","http://maps.google.com/maps?q=2205 4TH ST NE WASHINGTON, DC 20002",ABEM FAMILY  SUPEMARKET,?a=inspections&permitID=188743
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2216 MARTIN LUTHER  KING,Jr. AVE SE WASHINGTON, DC 20020']","http://maps.google.com/maps?q=2216 MARTIN LUTHER  KING,Jr. AVE SE WASHINGTON, DC 20020",ABG MART,?a=inspections&permitID=187694
[u'\r\n\t\t\t\tType: Grocery Store \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2216 MARTIN LUTHER  KING,Jr. AVE SE WASHINGTON, DC 20020']","http://maps.google.com/maps?q=2216 MARTIN LUTHER  KING,Jr. AVE SE WASHINGTON, DC 20020",ABG MART,?a=inspections&permitID=187495
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t5503 GEORGIA AVE NW WASHINGTON, DC 20011']","http://maps.google.com/maps?q=5503 GEORGIA AVE NW WASHINGTON, DC 20011",ABOIL CAFE',?a=inspections&permitID=173098
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t772 5TH ST NW Washington, DC 20001']","http://maps.google.com/maps?q=772 5TH ST NW Washington, DC 20001",ABSOLUTE NOODLES,?a=inspections&permitID=147343
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2005 18TH ST NW WASHINGTON, DC 20009']","http://maps.google.com/maps?q=2005 18TH ST NW WASHINGTON, DC 20009",ABSOLUTE PIZZA KABAB (n),?a=inspections&permitID=4789
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t521 G ST NW WASHINGTON, DC 20001']","http://maps.google.com/maps?q=521 G ST NW WASHINGTON, DC 20001",ABSOLUTE THAI RESTAURANT,?a=inspections&permitID=6132
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t4340 CONNECTICUT AVE NW Washington, DC 20008']","http://maps.google.com/maps?q=4340 CONNECTICUT AVE NW Washington, DC 20008",ACACIA BISTRO,?a=inspections&permitID=5137
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t901 NEW YORK AVE NW Washington, DC 20001']","http://maps.google.com/maps?q=901 NEW YORK AVE NW Washington, DC 20001",ACADIANA RESTAURANT,?a=inspections&permitID=1207
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t441 KENNEDY ST NW WASHINGTON, DC 20011']","http://maps.google.com/maps?q=441 KENNEDY ST NW WASHINGTON, DC 20011",ACHE LOUNGE (n),?a=inspections&permitID=6709
[u'\r\n\t\t\t\tType: School Cafeteria \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1500 MISSISSIPPI AVE SE WASHINGTON, DC 20032']","http://maps.google.com/maps?q=1500 MISSISSIPPI AVE SE WASHINGTON, DC 20032",ACHIEVEMENT PREP,?a=inspections&permitID=147802
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t212 7TH ST SE WASHINGTON, DC 20003']","http://maps.google.com/maps?q=212 7TH ST SE WASHINGTON, DC 20003",ACQUA AL 2,?a=inspections&permitID=5300
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1400 IRVING ST NW STE 310 WASHINGTON, DC 20010']","http://maps.google.com/maps?q=1400 IRVING ST NW WASHINGTON, DC 20010",ACRE 121 (n),?a=inspections&permitID=5852
[u'\r\n\t\t\t\tType: Caterer \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1400 IRVING ST NW STE 310 WASHINGTON, DC 20010']","http://maps.google.com/maps?q=1400 IRVING ST NW WASHINGTON, DC 20010",ACRE 121 (n),?a=inspections&permitID=6783
[u'\r\n\t\t\t\tType: Food Products \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1704 COLUMBIA RD NW WASHINGTON, DC 20011']","http://maps.google.com/maps?q=1704 COLUMBIA RD NW WASHINGTON, DC 20011",ADAMS MORGAN HARDWARE,?a=inspections&permitID=188438
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2204 18TH ST NW WASHINGTON, DC 20009']","http://maps.google.com/maps?q=2204 18TH ST NW WASHINGTON, DC 20009",ADAMS MORGAN RESTAURANT AND COFFEE,?a=inspections&permitID=6497
[u'\r\n\t\t\t\tType: Grocery Store \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t700 F ST NE Washington, DC 20002']","http://maps.google.com/maps?q=700 F ST NE Washington, DC 20002",ADAMS SUPER MARKET,?a=inspections&permitID=1168
[u'\r\n\t\t\t\tType: Caterer \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t707 H ST NE WASHINGTON, DC 20002']","http://maps.google.com/maps?q=707 H ST NE WASHINGTON, DC 20002",ADDIS ETHIOPIAN RESTAURANT,?a=inspections&permitID=188848
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t707 H ST NE WASHINGTON, DC 20002']","http://maps.google.com/maps?q=707 H ST NE WASHINGTON, DC 20002",ADDIS ETHIOPIAN RESTAURANT,?a=inspections&permitID=173153
[u'\r\n\t\t\t\tType: Food Products \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t4610 14TH ST NW Washington, DC 20011']","http://maps.google.com/maps?q=4610 14TH ST NW Washington, DC 20011",ADDIS MARKET AND DELI,?a=inspections&permitID=5514
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t50 MASSACHUSETTS AVE NE SPC 118 WASHINGTON, DC 20002']","http://maps.google.com/maps?q=50 MASSACHUSETTS AVE NE WASHINGTON, DC 20002",ADITI INDIAN KITCHEN,?a=inspections&permitID=1051
[u'\r\n\t\t\t\tType: Caterer \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1369 NEW YORK AVE NE WASHINGTON, DC 20002']","http://maps.google.com/maps?q=1369 NEW YORK AVE NE WASHINGTON, DC 20002",ADUN,?a=inspections&permitID=188824
[u'\r\n\t\t\t\tType: School Cafeteria \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1101 2ND ST NE WASHINGTON, DC 20002']","http://maps.google.com/maps?q=1101 2ND ST NE WASHINGTON, DC 20002",ADVANCED PATH ACADEMY,?a=inspections&permitID=6544
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2445 M ST NW WASHINGTON, DC 20037']","http://maps.google.com/maps?q=2445 M ST NW WASHINGTON, DC 20037",ADVISORY BOARD CAFE,?a=inspections&permitID=172476
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2309 CALVERT ST NW WASHINGTON, DC 20008']","http://maps.google.com/maps?q=2309 CALVERT ST NW WASHINGTON, DC 20008",AFGHAN GRILL,?a=inspections&permitID=2579
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t815 16TH ST NW Washington, DC 20006']","http://maps.google.com/maps?q=815 16TH ST NW Washington, DC 20006",AFL CIO KITCHEN,?a=inspections&permitID=3971
[u'\r\n\t\t\t\tType: Food Products \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t505 MORSE ST NE Washington, DC 20002']","http://maps.google.com/maps?q=505 MORSE ST NE Washington, DC 20002",AFRICAN FOOD WHOLESALE,?a=inspections&permitID=1115
[u'\r\n\t\t\t\tType: Grocery Store \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t411 MORSE ST NE Washington, DC 20002']","http://maps.google.com/maps?q=411 MORSE ST NE Washington, DC 20002",AFRIK INTERNATIONAL FOOD SERVICES,?a=inspections&permitID=1008
[u'\r\n\t\t\t\tType: Grocery Store \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t411 MORSE ST NE WASHINGTON, DC 20002']","http://maps.google.com/maps?q=411 MORSE ST NE WASHINGTON, DC 20002",AFRIK INTERNATIONAL FOOD STORE,?a=inspections&permitID=674
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2622 P ST NW WASHINGTON, DC 20007']","http://maps.google.com/maps?q=2622 P ST NW WASHINGTON, DC 20007",AFTER PEACOCK ROOM,?a=inspections&permitID=172269
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1527 17TH ST NW Washington, DC 20036']","http://maps.google.com/maps?q=1527 17TH ST NW Washington, DC 20036",AGORA RESTAURANT,?a=inspections&permitID=137296
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1527 17TH ST NW Washington, DC 20036']","http://maps.google.com/maps?q=1527 17TH ST NW Washington, DC 20036",AGORA RESTAURANT,?a=inspections&permitID=5845
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t301 WATER ST SE WASHINGTON, DC 20003']","http://maps.google.com/maps?q=301 WATER ST SE WASHINGTON, DC 20003",AGUA 301,?a=inspections&permitID=148065
[u'\r\n\t\t\t\tType: Caterer \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t4414 Georgia AVE NW WASHINGTON, DC 20011']","http://maps.google.com/maps?q=4414 Georgia AVE NW WASHINGTON, DC 20011",AHIMSA FOODS,?a=inspections&permitID=172353
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t601 INDEPENDENCE AVE SW WASHINGTON, DC 20008']","http://maps.google.com/maps?q=601 INDEPENDENCE AVE SW WASHINGTON, DC 20008",AIR & SPACE MUSEUM STAFF CAFE,?a=inspections&permitID=147950
[u'\r\n\t\t\t\tType: School Cafeteria \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t534 48th PL NE WASHINGTON, DC 20019']","http://maps.google.com/maps?q=534 48th PL NE WASHINGTON, DC 20019",AITON ELEMENTARY SCHOOL,?a=inspections&permitID=93253
[u'\r\n\t\t\t\tType: School Cafeteria \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t534 48th PL NE WASHINGTON, DC 20019']","http://maps.google.com/maps?q=534 48th PL NE WASHINGTON, DC 20019",AITON ELEMENTARY SCHOOL,?a=inspections&permitID=4680
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1710 H ST NW Washington, DC 20007']","http://maps.google.com/maps?q=1710 H ST NW Washington, DC 20007",AKA WHITE HOUSE,?a=inspections&permitID=6115
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1926 9TH ST NW WASHINGTON, DC 20001']","http://maps.google.com/maps?q=1926 9TH ST NW WASHINGTON, DC 20001",AL CROSTINO (n),?a=inspections&permitID=188282
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1926 9TH ST NW WASHINGTON, DC 20001']","http://maps.google.com/maps?q=1926 9TH ST NW WASHINGTON, DC 20001",AL CROSTINO (n),?a=inspections&permitID=172668
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1324 U ST NW Washington, DC 20009']","http://maps.google.com/maps?q=1324 U ST NW Washington, DC 20009",AL CROSTINO (n),?a=inspections&permitID=5626
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1324 U ST NW Washington, DC 20009']","http://maps.google.com/maps?q=1324 U ST NW Washington, DC 20009",AL CROSTINO (n),?a=inspections&permitID=1658
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3201 NEW MEXICO AVE NW WASHINGTON, DC 20016']","http://maps.google.com/maps?q=3201 NEW MEXICO AVE NW WASHINGTON, DC 20016",AL DENTE RESTAURANT,?a=inspections&permitID=6566
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2014 P ST NW Washington, DC 20036']","http://maps.google.com/maps?q=2014 P ST NW Washington, DC 20036",AL TIRAMASU,?a=inspections&permitID=2415
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1003 8TH ST SE Washington, DC 20003']","http://maps.google.com/maps?q=1003 8TH ST SE Washington, DC 20003",AL'S DELICATESSEN,?a=inspections&permitID=4074
